"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
136,642585,"Bautista, Félix",629,21.6,0.2,0.3,0.111,0.5,0.292,0.34,0.25,2,10,81.9,21.4,2292,94.3,94.98,11,37,99,0.7000000000000028,6.69,113,148,114,148,302,326,301,"-0.971","0.971","68.7","7.2",10,10,1,0,0,1,0,0,0,0,1.2025,1.38191,0.28676,-0.12735,"89.2",164,10,10,10,6.99,-0.1,0.11,2.79,0.2,1,"0.713970588",0.25,0.557,"-0.713970588",-0.05,-0.04999999999999999,-0.057,-0.048,29.7,"66.2",10.449442563027164,-0.676770998861197,32.3918023271373,0.7222222222222222,36.01477173319751,29.71143361460095
120,642207,"Williams, Devin",1119,10.7,0.429,0.143,0.429,0.571,0.431,0.487,0.391,3,7,94.9,7.1,2541,89,90.26,14,33,87,1.2999999999999972,7.36,113,150,115,151,292,323,285,"0.168","-0.168","72.0","7.3",7,7,2,1,0,0,0,0,0,0,2.42017,0.52492,1.31358,0.04158,"91.9",133,42.857142857142854,14.285714285714285,14.285714285714285,5.29,-2.39,0.09,2.41,0.429,1,"-0.14",0.391,0.766,"0.14",0.038,0.03799999999999998,-0.195,-0.056,42.4,"22.1",8.881380626228879,-4.07322759116098,32.551991485846585,0.5757575757575758,36.207974753030406,32.140662125277316
112,592426,"Jackson, Luke",802,14,0.222,0,0.222,0.222,0.196,0.247,0.259,4,18,86.6,10.4,2323,88,88.58,10,39,73,0.5999999999999943,6.74,115,150,113,149,297,328,296,"2.004","-2.004","72.1","7.5",18,18,4,0,0,0,0,0,0,0,3.09545,-0.12062,0.03771,0.09128,"91.2",131,22.22222222222222,0,0,6.33,-2.4,0,2.18,0.222,0,"-1.789285714",0.259,0.306,"1.789285714",-0.037,-0.037000000000000005,-0.084,-0.051,25.6,"50.2",12.459925247324726,-4.456517198824984,34.54232448394547,0.6410256410256411,36.60075706507472,32.21250999838533
112,671922,"Smith, Cade",1194,9.4,0.308,0.077,0.308,0.385,0.356,0.36,0.287,4,13,91.5,3.5,1948,93.1,94.71,17,44,68,1.6000000000000085,7.34,112,148,116,149,296,323,301,"0.86","-0.86","66.8","6.9",16,14,3,1,0,0,0,0,0,0,1.7675,0.90523,0.50545,-0.07205,"92.7",136,57.14285714285714,7.142857142857142,6.25,5.81,-2.5,-0.11,2.73,0.4,1,"-0.767857143",0.382,0.426,"0.767857143",0.021,0.018000000000000016,-0.041,-0.004,38.6,"37.5",6.341357964495983,-2.560201473392108,32.44828161261246,0.36585365853658536,37.74477722060866,29.09165501714191
105,676534,"Faucher, Calvin",1055,10,0.333,0,0.333,0.333,0.372,0.465,0.431,3,9,94.9,9.2,2770,91.6,90.92,9,28,77,-0.6999999999999886,5.87,110,148,107,149,302,321,295,"0.352","-0.352","69.3","6.9",11,9,3,0,0,0,0,0,0,0,2.5059,0.22923,-0.13857,0.05514,"93.2",179,66.66666666666666,0,0,5.91,-1.31,0.18,2.3,0.455,0,"-0.335238095",0.535,0.508,"0.335238095",-0.098,-0.08000000000000002,-0.175,-0.093,32.1,"45.3",3.1746956336182857,6.124471979675592,31.46063257544402,0.5185185185185185,36.79876103920482,25.985698206015922
92,676395,"Garcia, Robert",981,9.4,0.529,0.412,0.471,0.941,0.587,0.46,0.39,9,17,89.3,13.4,2159,90.3,90.35,13,40,52,0.10000000000000853,6.48,110,151,108,149,298,325,296,"-2.291","2.291","72.3","7.2",18,18,4,4,0,1,0,0,0,0,2.17457,0.6578,0.61457,-0.3237,"92.7",194,38.88888888888889,11.11111111111111,11.11111111111111,5.64,3.71,0.3,2.53,0.5,2,"2.490217391",0.378,0.729,"-2.490217391",0.139,0.122,0.212,0.127,32.5,"25.8",8.125495914238034,5.987789997585539,31.498739707144527,0.525,38.27612853309972,26.552209878907526
92,678020,"Halvorsen, Seth",640,14.4,0.2,0,0.2,0.2,0.176,0.299,0.317,2,10,87.3,4.1,2212,97,98.47,14,31,61,1.5,6.95,117,149,112,148,301,333,301,"0.86","-0.86","66.4","6.8",10,10,2,0,0,0,0,0,0,0,1.60185,0.83275,0.7162,-0.21489,"91.8",145,30,0,0,5.85,-2.32,-0.36,2.57,0.2,0,"-0.934782609",0.317,0.363,"0.934782609",-0.117,-0.11699999999999999,-0.163,-0.123,45.2,"45.5",2.574246780357045,5.563052003765686,33.452532080682175,0.5,38.22682587639295,26.173945117992314
91,650556,"Abreu, Bryan",1191,7.6,0.667,0.167,0.667,0.833,0.65,0.579,0.582,4,6,89.3,17.3,2565,92.4,92.37,14,29,62,0,6.57,109,146,111,146,297,328,297,"-0.625","0.625","68.9","7.1",6,6,3,1,0,0,0,0,0,0,2.17989,0.55044,-0.0178,-0.07956,"89.5",198,16.666666666666664,0,0,5.61,-2.66,0.01,2.64,0.667,0,"0.686813187",0.582,0.739,"-0.686813187",0.085,0.08500000000000008,0.094,0.071,48.3,"39.1",7.877316154657706,2.5461982921500725,33.01288247123528,0.42857142857142855,36.406142249621325,27.50583460738812
88,519151,"Pressly, Ryan",661,13.3,0.133,0.067,0.133,0.2,0.142,0.271,0.291,2,15,89.6,-2.4,2699,89.6,89.7,5,32,56,0.10000000000000853,6.34,113,150,114,152,297,321,300,"2.87","-2.87","69.2","6.9",15,15,1,1,0,0,0,0,0,0,2.31364,0.55443,-0.29216,0.11625,"92.8",104,53.333333333333336,0,0,5.92,-0.64,-0.16,2.41,0.133,0,"-3.261363636",0.291,0.325,"3.261363636",-0.158,-0.15799999999999997,-0.125,-0.129,15.6,"55.8",6.300053853270701,2.41633901058328,33.03332744283262,0.46875,37.300404628478255,28.2944082449882
85,571946,"Miller, Shelby",720,11.8,0.25,0,0.25,0.25,0.221,0.272,0.262,3,12,82.6,19.3,2406,92.4,93.55,12,33,52,1.0999999999999943,7.09,115,150,117,151,302,321,298,"2.347","-2.347","72.3","7.1",12,12,3,0,0,0,0,0,0,0,1.54824,1.15412,0.68024,-0.18447,"90.1",172,25,0,0,5.4,-1.44,-0.01,2.49,0.25,0,"-2.761176471",0.262,0.366,"2.761176471",-0.012,-0.01200000000000001,-0.116,-0.051,36.4,"43.7",8.13488190290157,2.0765331761379926,30.485983787190236,0.41935483870967744,37.75097259024531,27.68634632944191
85,680767,"Vodnik, Victor",927,9.2,0.6,0.5,0.556,1.1,0.715,0.629,0.505,6,10,94.8,17.3,2224,95.5,96.71,7,31,54,1.2000000000000028,6.68,114,148,114,147,301,332,302,"-1.999","1.999","71.1","7.2",10,10,4,0,1,1,0,0,0,0,1.77529,0.71106,0.5031,-0.28786,"92.4",178,50,20,20,5.38,-2.15,-0.08,2.33,0.6,2,"2.351764706",0.505,0.977,"-2.351764706",0.095,0.09499999999999997,0.123,0.086,22.6,"40.5",4.805448876679516,5.154322830576619,33.40111893896178,0.3103448275862069,39.61976825710475,25.09682760606785
78,621051,"Wilson, Steven",982,7.9,0.4,0,0.286,0.4,0.252,0.226,0.158,2,5,92.6,26.9,2539,86.2,86.33,8,23,55,0.09999999999999432,6.56,108,148,116,146,300,317,296,"0.172","-0.172","61.4","7.0",7,7,2,0,0,0,0,0,0,0,2.60526,0.52831,-0.53628,-0.41705,"91.6",216,57.14285714285714,0,0,5.91,-2.34,0.09,2.08,0.286,0,"-0.220512821",0.171,0.229,"0.220512821",0.242,0.11499999999999996,0.171,0.026,34.8,"47.2",9.334718708205047,-6.765115711488289,32.33445714322231,0.43478260869565216,38.13498835332883,32.645417312913665
77,592773,"Stanek, Ryne",1063,7.2,0.364,0.545,0.222,0.909,0.531,0.464,0.34,4,11,91.3,15,2299,94.4,93.67,6,31,46,-0.7000000000000028,5.9,112,148,119,149,299,325,297,"-1.4","1.4","70.6","7.2",11,11,2,0,0,2,0,0,0,0,1.5274,1.06468,0.37883,-0.13779,"91.7",181,54.54545454545454,36.36363636363637,36.36363636363637,6.5,-0.68,0.13,2.73,0.364,4,"1.818181818",0.34,0.766,"-1.818181818",0.024,0.023999999999999966,0.143,0.067,19.4,"47.7",8.544647819325917,1.9716570516459921,31.342404651785547,0.4838709677419355,36.026683839092,29.76924655290316
77,678606,"Ferrer, Jose A.",1215,6.3,0.333,0.333,0.25,0.667,0.422,0.443,0.341,3,9,93.1,11.4,2164,96.1,95.58,4,26,51,-0.5,6.1,109,149,113,149,304,329,299,"-0.12","0.12","72.9","7.2",9,9,2,0,0,1,0,0,0,0,2.06455,0.42688,1.4587,-0.7013,"91.8",173,44.44444444444444,11.11111111111111,11.11111111111111,5.84,2.93,-0.16,2.19,0.333,1,"0.155844156",0.341,0.717,"-0.155844156",-0.008,-0.008000000000000007,-0.05,-0.021,15.4,"32.7",6.993983521501225,4.628969007897503,34.023812613380926,0.23076923076923078,38.09421674119112,24.678966783841023
75,606160,"Montero, Rafael",1096,6.8,0.25,0,0.25,0.25,0.221,0.393,0.405,1,4,75.9,5.5,2208,92.2,92.09,11,21,54,-0.10000000000000853,6.26,116,151,115,150,298,325,297,"1.39","-1.39","71.6","7.1",4,4,1,0,0,0,0,0,0,0,1.85933,0.85189,0.75373,0.06947,"92.8",219,25,0,0,5.05,-1.98,-0.03,2.43,0.25,0,"-1.853333333",0.405,0.488,"1.853333333",-0.155,-0.15500000000000003,-0.238,-0.172,52.4,"33.9",7.4214465304468815,0.4375503436931014,31.74713387496642,0.5238095238095238,36.31228855661064,30.157506580888896
