pitches_out_of_zone,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2,666157,"Lodolo, Nick",2478,0.1,,,,,,,,,,,,2522,87.9,87.65,0,0,2,-0.09999999999999432,6.25,121,151,114,150,296,325,296,0.002,-0.002,,,,,,,,,,,,,2.63,0.76,0.465,1.135,,,,,,5.47,3.6,-1.16,1.94,,,-0.1,,,0.1,,,,,,16.2,,,,,,
2,664991,"Wolfram, Grant",520,0.4,,,,,,,,,,,,2314,94.8,94.6,0,0,2,-0.20000000000000284,6.3,111,149,117,146,305,320,290,-0.055,0.055,,,,,,,,,,,,,1.45,1.1,1.165,-1.165,,,,,,6.35,2.02,0.33,4.11,,,2.75,,,-2.75,,,,,,42.8,,,,,,
2,666171,"Zeferjahn, Ryan",1029,0.2,,,,,,,,,,,,2239,96.9,97,0,1,1,0.09999999999999432,6.55,114,150,110,151,313,325,308,0,0,70.0,7.6,,,,,,,,,,,0.99,1.46,0.365,0.015,88.0,205,,,,5.93,-1.4,-0.06,3.12,,,0,,,0,,,,,0,39.5,-0.4352562631132069,16.463009809321054,31.466789551887132,0,48.48186137770636,18.991495874051385
2,701487,"Ohl, Pierson",544,0.4,,,,,,,,,,,,2209,85.5,85.3,0,0,2,-0.20000000000000284,6.2,124,149,127,152,306,332,300,-0.08,0.08,,,,,,,,,,,,,2.435,0.69,-0.245,-0.045,,,,,,5.96,-1.02,0.21,1.21,,,4,,,-4,,,,,,48.5,,,,,,
2,680730,"Parker, Mitchell",2705,0.1,,,,,,,,,,,,2223,86.2,87.05,0,0,2,0.7999999999999972,6.95,121,151,125,150,309,338,302,-0.08,0.08,,,,,,,,,,,,,2.55,0.585,0.065,0.375,,,,,,6.25,1.23,0.55,2.98,,,4,,,-4,,,,,,60.5,,,,,,
2,677944,"Cecconi, Slade",2064,0.1,,,,,,,,,,,,2345,82,82.2,0,1,1,0.29999999999999716,6.55,123,149,130,153,297,316,308,0.021,-0.021,76.5,5.9,,,,,,,,,,,3.63,0.015,-0.1,0.1,88.0,188,,,,5.96,-1.52,0.32,2.52,,,-1.05,,,1.05,,,,,0,46.2,-6.141367949161602,25.324984098789503,23.163083484357273,0,35.03617275861859,12.454315684395015
2,702674,"Dana, Caden",562,0.4,,,,,,,,,,,,2078,88,88.45,0,0,2,0.5,6.6,101,153,121,148,316,325,305,-0.074,0.074,,,,,,,,,,,,,2.385,0.605,0.03,0.03,,,,,,6.1,-1.58,-0.81,3.45,,,3.7,,,-3.7,,,,,,48.1,,,,,,
2,820862,"Fermin, José",645,0.3,,,,,,,,,,,,2348,92,92,0,0,2,0,6.1,122,150,135,151,315,331,311,-0.076,0.076,,,,,,,,,,,,,1.965,0.725,0.38,-0.34,,,,,,6.19,-1.68,-0.6,2.71,,,3.8,,,-3.8,,,,,,47.1,,,,,,
2,641778,"Lauer, Eric",1683,0.1,,,,,,,,,,,,2316,83.7,83.35,0,0,2,-0.4000000000000057,6,117,150,122,152,280,320,294,-0.08,0.08,,,,,,,,,,,,,3.175,0.185,-0.285,0.855,,,,,,6,1.97,0.56,2.12,,,4,,,-4,,,,,,35.6,,,,,,
2,650633,"King, Michael",1219,0.2,,,,,,,,,,,,2081,87.9,86.8,0,0,2,-1.1000000000000085,5.8,107,149,115,151,294,323,291,-0.001,0.001,,,,,,,,,,,,,2.675,0.305,1.565,-1.565,,,,,,5.36,-3.49,-0.98,3.28,,,0.05,,,-0.05,,,,,,21.0,,,,,,
